File                DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
----------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
2006763            5.84   6.82            0.92         0.90     0.91             0.83             0.84          0.23          0.30  1.07   0.80
2011315           13.63  13.95            0.81         0.78     0.80             0.67             0.70          0.57          0.67  1.07   0.63
2024698            9.38  12.15            0.85         0.84     0.85             0.72             0.73          0.45          0.51  1.01   0.68
2025454           16.95  17.91            0.82         0.73     0.77             0.58             0.68          0.51          0.77  0.86   0.58
2036242            7.70   8.09            0.88         0.88     0.88             0.82             0.82          0.38          0.39  1.35   0.78
2039585            4.07   4.54            0.93         0.93     0.93             0.88             0.88          0.23          0.27  1.28   0.84
2051619            4.46   4.90            0.92         0.92     0.92             0.88             0.88          0.27          0.28  1.39   0.83
2104727           11.08  15.61            0.84         0.83     0.84             0.73             0.74          0.52          0.54  1.03   0.66
2122417            8.77   8.63            0.88         0.83     0.86             0.74             0.80          0.35          0.51  1.14   0.73
2157582           10.88  11.35            0.83         0.80     0.81             0.69             0.72          0.51          0.62  1.06   0.65
2169373           11.87  12.29            0.84         0.80     0.82             0.70             0.74          0.45          0.56  1.11   0.69
2178391           12.26  12.57            0.84         0.78     0.81             0.66             0.73          0.46          0.67  0.96   0.63
2190472            8.47   8.85            0.88         0.85     0.86             0.76             0.80          0.34          0.51  1.14   0.73
2215699           13.50  13.30            0.84         0.77     0.80             0.62             0.71          0.48          0.68  0.90   0.61
2234940            9.45  10.37            0.88         0.85     0.86             0.76             0.79          0.39          0.48  1.05   0.71
223504             4.04   7.24            0.94         0.92     0.93             0.78             0.81          0.17          0.27  0.67   0.75
2246689            4.95   5.46            0.92         0.92     0.92             0.87             0.87          0.25          0.28  1.17   0.82
2269962           14.59  15.43            0.84         0.75     0.79             0.57             0.66          0.45          0.71  0.79   0.58
2270892           10.05  17.48            0.84         0.84     0.84             0.72             0.72          0.50          0.49  0.97   0.66
2289810           10.27  13.32            0.83         0.81     0.82             0.69             0.70          0.53          0.60  1.02   0.64
2302262           11.39  11.91            0.84         0.81     0.82             0.70             0.74          0.45          0.57  1.08   0.68
2316003            6.29   7.72            0.91         0.89     0.90             0.83             0.84          0.30          0.37  1.11   0.77
2324000            8.24   8.80            0.88         0.87     0.87             0.81             0.82          0.40          0.44  1.29   0.76
2329079           11.80  15.09            0.81         0.81     0.81             0.68             0.68          0.56          0.58  0.87   0.60
2366663            4.57   4.99            0.93         0.92     0.93             0.87             0.88          0.24          0.28  1.19   0.82
2371885           13.10  13.84            0.83         0.80     0.81             0.66             0.70          0.47          0.63  0.97   0.64
2386630           13.80  14.64            0.79         0.77     0.78             0.66             0.68          0.62          0.69  1.06   0.62
2392867           14.18  14.38            0.83         0.78     0.81             0.66             0.71          0.48          0.58  0.98   0.65
2404173            5.80   6.24            0.89         0.89     0.89             0.82             0.83          0.35          0.38  1.26   0.78
2408483            9.28   9.88            0.85         0.84     0.84             0.73             0.75          0.44          0.51  1.06   0.69
2408885           14.27  21.79            0.78         0.78     0.78             0.63             0.63          0.58          0.61  0.78   0.57
2416907           10.59  11.00            0.79         0.80     0.80             0.69             0.68          0.62          0.61  1.07   0.64
2424071            8.90   8.15            0.92         0.83     0.87             0.68             0.81          0.24          0.49  0.91   0.72
2448528           15.80  15.14            0.79         0.73     0.76             0.59             0.66          0.59          0.79  0.94   0.58
2466350            9.81   9.90            0.85         0.83     0.84             0.75             0.77          0.43          0.52  1.25   0.73
2472267            7.04   8.33            0.89         0.88     0.89             0.81             0.82          0.35          0.42  1.14   0.75
2492647            8.76  14.63            0.87         0.86     0.86             0.73             0.73          0.40          0.47  0.87   0.67
2507155           10.50  10.60            0.87         0.84     0.86             0.76             0.79          0.37          0.49  1.13   0.73
2508371           10.34  10.72            0.86         0.83     0.84             0.72             0.76          0.42          0.55  1.05   0.69
2528779           10.33  10.75            0.89         0.83     0.86             0.59             0.68          0.31          0.49  0.64   0.62
2532454            9.99  11.53            0.83         0.86     0.84             0.77             0.73          0.57          0.44  1.11   0.69
2577003            7.75   9.65            0.88         0.87     0.87             0.79             0.80          0.39          0.44  1.11   0.73
2601006           15.60  16.71            0.81         0.76     0.78             0.61             0.65          0.54          0.69  0.87   0.59
2619976           16.30  23.32            0.77         0.72     0.75             0.46             0.50          0.68          0.82  0.59   0.44
2627977            7.76   8.08            0.90         0.88     0.89             0.80             0.82          0.29          0.40  1.14   0.77
2643195            4.30   5.46            0.94         0.93     0.93             0.89             0.90          0.22          0.27  1.28   0.84
2664826           15.08  16.69            0.80         0.75     0.78             0.59             0.64          0.57          0.68  0.90   0.59
2669941            6.83   9.54            0.88         0.88     0.88             0.80             0.80          0.41          0.39  1.17   0.74
2690095           17.83  19.96            0.82         0.72     0.77             0.49             0.57          0.49          0.76  0.68   0.53
2690429           13.42  14.37            0.73         0.76     0.75             0.63             0.59          0.70          0.66  0.99   0.59
2704391           11.78  13.78            0.84         0.83     0.83             0.74             0.76          0.51          0.57  1.15   0.68
2712340           18.82  23.64            0.76         0.69     0.72             0.51             0.57          0.69          0.88  0.75   0.49
2720729           18.23  20.25            0.72         0.71     0.72             0.56             0.56          0.77          0.80  0.91   0.54
2721916            8.41  10.45            0.88         0.88     0.88             0.81             0.82          0.36          0.42  1.18   0.75
2734345           11.18  11.41            0.85         0.81     0.83             0.69             0.74          0.42          0.51  1.07   0.70
2750528           10.75  10.69            0.87         0.81     0.84             0.66             0.73          0.37          0.54  0.96   0.68
2751425            7.59   8.87            0.89         0.87     0.88             0.79             0.81          0.35          0.41  1.08   0.74
2797430           13.99  25.94            0.79         0.78     0.78             0.51             0.53          0.64          0.69  0.60   0.48
2812107            7.78  15.15            0.88         0.88     0.88             0.74             0.75          0.40          0.42  0.85   0.68
